channelName,title,channelId,url,gender,rank,description,countryCode,viewCount,subscriberCount,videoCount,publishedAt,uploads,publishedDate,country,countryOther,continent,year,yearClass,subscriberCountClass
sentdex,sentdex,UCfzlCWGWYyIQ0aLC5w48gBQ,https://www.youtube.com/c/sentdex,Male,14,"Python Programming tutorials, going further than just the basics. Learn about machine learning, finance, data analysis, robotics, web development, game development and more.

I have ~1000 videos, all of which do not fit on the front page. Try searching on the channel page, or via https://pythonprogramming.net. If you cannot find something, just ask! 

Bitcoin donations: 1GV7srgR4NJx4vrk7avCmmVQQrqmv87ty6
Paypal donations: HSKinsley@gmail.com",US,95374613,1050000,1226,2012-12-16T20:49:11Z,UUfzlCWGWYyIQ0aLC5w48gBQ,2012-12-16,United States,United States,North america,2012,"(2010.0, 2015.0]","(683500.0, 2460000.0]"
Dani,Dani,UCIabPXjvT5BVTxRDPCBBOOQ,https://www.youtube.com/c/DaniDev/featured,Male,16,haha yes games,NO,160512683,2460000,65,2018-10-17T18:40:23Z,UUIabPXjvT5BVTxRDPCBBOOQ,2018-10-17,Norway,Norway,Europe,2018,"(2015.0, 2020.0]","(683500.0, 2460000.0]"
The Coding Train,The Coding Train,UCvjgXvBlbQiydffZU7m1_aw,https://www.youtube.com/c/TheCodingTrain/videos,Male,17,"All aboard! The Coding Train is on its way with creative coding video tutorials on subjects ranging from the basics of programming languages like JavaScript to algorithmic art, machine learning, simulation, generative poetry, and more. Choo choo!",US,86904612,1280000,1117,2006-07-03T18:24:29Z,UUvjgXvBlbQiydffZU7m1_aw,2006-07-03,United States,United States,North america,2006,"(2005.999, 2010.0]","(683500.0, 2460000.0]"
Dennis Ivy,Dennis Ivy,UCTZRcDjjkVajGL6wd76UnGg,https://www.youtube.com/c/DennisIvy,Male,18,"Sharing what I know about Full Stack Web development with the primary Focus being Python, Django & Javascript at the time. I will be creating Project based tutorials for these Languages/Frameworks/Libraries along with sharing my personal experience.",US,7266335,121000,129,2017-10-24T12:05:18Z,UUTZRcDjjkVajGL6wd76UnGg,2017-10-24,United States,United States,North america,2017,"(2015.0, 2020.0]","(97250.0, 683500.0]"
CS Dojo,CS Dojo,UCxX9wt5FWQUAAz4UrysqK9A,https://www.youtube.com/channel/UCxX9wt5FWQUAAz4UrysqK9A,Male,19,"Hello! My name is YK, and I usually make videos about programming and computer science here :)

Business email: https://www.csdojo.io/contact/
The logo was made by: my friend Youdong Zhang
",CA,64562396,1680000,96,2016-02-26T01:49:30Z,UUxX9wt5FWQUAAz4UrysqK9A,2016-02-26,Canada,Canada,North america,2016,"(2015.0, 2020.0]","(683500.0, 2460000.0]"
Code with Harry,CodeWithHarry,UCeVMnSShP_Iviwkknt83cww,https://www.youtube.com/c/CodeWithHarry/featured,Male,20,"Code With Harry is my attempt to teach basics and those coding techniques to people in short time which took me ages to learn.
At Code With Harry, I provide a quick and to the point demo along with resources of anything and everything I teach. Source code and other resources are hosted on my website CodeWithHarry.com. I provide source code(if any) in the description of every video.
Quality programming videos in Hindi :)",IN,130857401,1540000,1271,2018-04-28T14:50:54Z,UUeVMnSShP_Iviwkknt83cww,2018-04-28,India,India,Asia,2018,"(2015.0, 2020.0]","(683500.0, 2460000.0]"
Kalle Hallden,Kalle Hallden,UCWr0mx597DnSGLFk1WfvSkQ,https://www.youtube.com/channel/UCWr0mx597DnSGLFk1WfvSkQ,Male,21,"Hi, I am 300 moons old. I count everything in moons, it is very confusing for people.
I like to build stuff with code so that's mostly what I do in my videos",US,33062991,514000,190,2015-10-18T20:39:56Z,UUWr0mx597DnSGLFk1WfvSkQ,2015-10-18,United States,United States,North america,2015,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Fireship,Fireship,UCsBjURrPoezykLs9EqgamOA,https://m.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,Male,22,"High-intensity ⚡ code tutorials to help you build & ship your app faster. Subscribe for new videos every week covering intermediate to advanced lessons about JavaScript, Flutter, Firebase, and modern app development.

The original home of #100SecondsOfCode and #CodeThisNotThat. Created by Jeff Delaney. 

Building an app? Get project support, advanced full courses, and more at https://fireship.io",US,46455926,723000,333,2017-04-07T18:17:23Z,UUsBjURrPoezykLs9EqgamOA,2017-04-07,United States,United States,North america,2017,"(2015.0, 2020.0]","(683500.0, 2460000.0]"
Tim Corey,IAmTimCorey,UC-ptWR16ITQyYOglXyQmpzw,https://www.youtube.com/user/IAmTimCorey,Male,23,"My goal is to make your life easier, specifically when it comes to learning software development. I remember what it was like to not know even what questions to ask. In every video I do, I try to answer those questions. You will notice that I don't usually do quick videos. That's because I would rather help you understand rather than just padding my watch percentages. If you want more in-depth training, feel free to head over to my website (https://www.iamtimcorey.com) where I have courses dedicated to C#, SQL, and more.",US,16971576,243000,276,2011-10-14T18:24:47Z,UU-ptWR16ITQyYOglXyQmpzw,2011-10-14,United States,United States,North america,2011,"(2010.0, 2015.0]","(97250.0, 683500.0]"
TechLead,TechLead,UC4xKdmAXFh4ACyhpiQ_3qBw,https://www.youtube.com/channel/UC4xKdmAXFh4ACyhpiQ_3qBw,Male,24,"Ex-Google/ex-Facebook tech lead, multi-millionaire app entrepreneur, digital nomad traveler, software engineer. ☕️ 👌

If you're looking for help landing a job as a software engineer, resume critique, and mentorship, join me at:
http://techinterviewpro.com/
http://coderpro.com/

Learn the secrets of YouTube success with me here:
http://youtubebackstage.com/

Add me here:
http://instagram.com/techleadhd
http://twitter.com/techleadhd
https://www.linkedin.com/in/patrickshyu/

Business Inquiries: techleadhd@gmail.com",US,90766355,1090000,281,2016-09-20T15:57:20Z,UU4xKdmAXFh4ACyhpiQ_3qBw,2016-09-20,United States,United States,North america,2016,"(2015.0, 2020.0]","(683500.0, 2460000.0]"
WesBos,Wes Bos,UCoebwHSTvwalADTJhps0emA,https://www.youtube.com/user/wesbos,Male,25,"HTML, CSS, JavaScript and WordPress web development tutorials!",CA,6822618,132000,233,2006-01-26T04:15:36Z,UUoebwHSTvwalADTJhps0emA,2006-01-26,Canada,Canada,North america,2006,"(2005.999, 2010.0]","(97250.0, 683500.0]"
Gajesh S. Naik,Gajesh S Naik,UC7PWnwwqMSqAXQkKXqxRkMw,https://youtube.com/gajeshsnaik,Male,26,"I am Gajesh Naik, 13 y/o. Besides the curriculum, I keep an interest in Computer Science and Emerging Technologies. My channel has viewership from 120+ countries across seven continents. I have learned Scratch, C, C++, Java, JSP, HTML, CSS, JavaScript, Solidity, WordPress, Web3.js and React.js

I am a propounder of open source technology including the Linux operating system. At my leisure, I experiment on the Arduino Board in my own Mini Laboratory. I have a modest collection of Books relating to Computer Science and related topics. 

For Business inquiry:
robogajesh@gmail.com",IN,537810,11100,89,2016-07-29T11:04:06Z,UU7PWnwwqMSqAXQkKXqxRkMw,2016-07-29,India,India,Asia,2016,"(2015.0, 2020.0]","(-0.001, 97250.0]"
Ben Awad,Ben Awad,UC-8QAzbLcRglXeN_MY9blyw,https://www.youtube.com/c/BenAwad97/featured,Male,27,"I'm a software developer who makes videos about React, React Native, GraphQL, Typescript, Node.js, PostgreSQL, Python, and all things coding.",US,27919674,322000,1085,2011-10-01T14:10:47Z,UU-8QAzbLcRglXeN_MY9blyw,2011-10-01,United States,United States,North america,2011,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Codevolution,Codevolution,UC80PWRj_ZU8Zu0HSMNVwKWw,https://www.youtube.com/channel/UC80PWRj_ZU8Zu0HSMNVwKWw,Male,29,Tutorials on the latest tech in web development!,IN,47646233,288000,840,2015-11-20T09:21:06Z,UU80PWRj_ZU8Zu0HSMNVwKWw,2015-11-20,India,India,Asia,2015,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Hussein Nasser,Hussein Nasser,UC_ML5xP23TOWKUcc-oAE_Eg,https://www.youtube.com/c/HusseinNasser-software-engineering,Male,30,"Join me as we discuss various software engineering topics with examples and adding fun elements to them. We always try to learn by example here in this educational Youtube channel which we believe is the right way to learn. I love Software engineering (especially the backend) and I strive to be a better software engineer every day. Join me on this journey and let us learn together.  

All opinions, suggestions, and tips I provide in all of this channel's content are my own. Information provided is for educational purposes only. 

Consider becoming a member to support the channel
https://www.youtube.com/channel/UC_ML5xP23TOWKUcc-oAE_Eg/join

Stay awesome!
Hussein Nasser,
http://www.husseinnasser.com
Feel free to shoot me an email h@husseinnasser.com
twitter: @hnasr",US,7217498,146000,644,2014-08-19T07:33:42Z,UU_ML5xP23TOWKUcc-oAE_Eg,2014-08-19,United States,United States,North america,2014,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Dev Ed,Dev Ed,UClb90NQQcskPUGDIXsQEz5Q,https://www.youtube.com/channel/UClb90NQQcskPUGDIXsQEz5Q,Male,31,"Learn web development, web design, 3d modelling, tools like figma and more without getting bored!

The goes of this channel is to get you to become as creative you can be!

So if you like to create video games in Unity or develop an application in node.js, stick around and have fun!",RO,34508614,661000,205,2018-05-27T14:48:23Z,UUlb90NQQcskPUGDIXsQEz5Q,2018-05-27,Romania,Other,Europe,2018,"(2015.0, 2020.0]","(97250.0, 683500.0]"
Brackeys,Brackeys,UCYbK_tjZ2OrIZFBvU6CCMiA,https://www.youtube.com/c/Brackeys,Male,32,"Learn how to make video games!

Top-quality game development tutorials on everything from Unity and programming to game design. If you want to become a developer this channel will help guide you through it!

Join us on Discord: https://discord.gg/brackeys",DK,154469605,1410000,461,2012-12-22T23:21:35Z,UUYbK_tjZ2OrIZFBvU6CCMiA,2012-12-22,Denmark,Other,Europe,2012,"(2010.0, 2015.0]","(683500.0, 2460000.0]"
Rachit Jain,Rachit Jain,UC9fDC_eBh9e_bogw87DbGKQ,https://www.youtube.com/c/RachitJain,Male,33,"I am Rachit Jain, an IIT Roorkee Alumnus, and a Software Engineer at Microsoft.  

I talk about - 
1. Data Structures and Algorithms
2. Competitive Programming
3. Problem Solving
4. Motivation
5. Learning Mindset
6. Success and Winning
7. Failures and Reactions
8. Cracking Interviews

I have given lots and lots of interviews with Google, Microsoft, Goldman Sachs, Directi, Hackerrank and received job offers from all of them, except for one ;)    
I have worked with Microsoft, Flipkart, Grofers, HackerEarth, Codechef and also delivered lectures in IIIT-H about problem solving and logical reasoning.  

Subscribe, watch video and comment so that we learn from each other! 

If you want to invite me as a speaker for some event, contact me at my Facebook page, LinkedIn profile.",IN,7913906,173000,146,2015-07-01T08:17:37Z,UU9fDC_eBh9e_bogw87DbGKQ,2015-07-01,India,India,Asia,2015,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Kyle Cook,Web Dev Simplified,UCFbNIlppjAuEX4znoulh0Cw,https://www.youtube.com/c/WebDevSimplified,Male,34,"Web Dev Simplified is all about teaching web development skills and techniques in an efficient and practical manner. If you are just getting started in web development Web Dev Simplified has all the tools you need to learn the newest and most popular technologies to convert you from a no stack to full stack developer. Web Dev Simplified also deep dives into advanced topics using the latest best practices for you seasoned web developers.

I started Web Dev Simplified in order to share my passion for web development, and do what I truly love. Teach and inspire new web developers. I have been in love with full stack web development since 2015 when I did my first internship as a web developer. Ever since then I have pursued my passion, learning everything there is to know about web development. Over the years I have taught many colleagues and friends the joys of web development, and cannot wait to teach you.

Thank you for watching!",US,30860644,582000,320,2018-05-24T16:26:39Z,UUFbNIlppjAuEX4znoulh0Cw,2018-05-24,United States,United States,North america,2018,"(2015.0, 2020.0]","(97250.0, 683500.0]"
Scott Hansellman,Scott Hanselman,UCL-fHOdarou-CR2XUmK48Og,https://www.youtube.com/user/shanselman,Male,35,"I'm a teacher. I speak all over to whomever will listen. I have written code that you've likely used. I've been blogging for over a decade and podcasting for about half that. I speak, code, write, empower, promote, learn and listen - usually not in that order.",US,8995924,125000,313,2006-03-15T10:14:39Z,UUL-fHOdarou-CR2XUmK48Og,2006-03-15,United States,United States,North america,2006,"(2005.999, 2010.0]","(97250.0, 683500.0]"
PortEXE,PortEXE,UCjGQyJCSU_VVMTu5nigonqg,https://www.youtube.com/channel/UCjGQyJCSU_VVMTu5nigonqg,Male,36,PortEXE is an executable port whose job is to teach you programming; no matter what your skill level is. Subscribe and be part of a growing community of people interested in software. Much more to come!,US,606212,11700,112,2017-12-03T16:54:46Z,UUjGQyJCSU_VVMTu5nigonqg,2017-12-03,United States,United States,North america,2017,"(2015.0, 2020.0]","(-0.001, 97250.0]"
Joshua Fluke,Joshua Fluke,UC-91UA-Xy2Cvb98deRXuggA,https://www.youtube.com/user/Tychos1,Male,37,I make a variety of content. I'm always having these wild ideas.,US,56407801,454000,1004,2010-03-30T16:49:47Z,UU-91UA-Xy2Cvb98deRXuggA,2010-03-30,United States,United States,North america,2010,"(2005.999, 2010.0]","(97250.0, 683500.0]"
Joma,Joma Tech,UCV0qA-eDDICsRR9rPcnG7tw,https://www.youtube.com/channel/UCV0qA-eDDICsRR9rPcnG7tw,Male,39,"I talk about life in Silicon Valley, big tech companies, data science and software engineering.

Joma Startup: A web series about me starting a startup called Notvine, an app that allows you to share 6.1 second looping videos

Follow me on:

Instagram: http://instagram.com/jomaoppa
Facebook: https://www.facebook.com/jomaoppa/
Twitter: https://twitter.com/jomaoppa
Website: https:/joma.io/

Personal Email: hello@joma.io
Business Only: business@joma.io",US,82643586,1260000,86,2016-08-31T22:22:07Z,UUV0qA-eDDICsRR9rPcnG7tw,2016-08-31,United States,United States,North america,2016,"(2015.0, 2020.0]","(683500.0, 2460000.0]"
